ts,frame_idx,ok,bbox,offx,offy
1764760168.810025,0,1,None,,
1764760169.027089,1,1,None,,
1764760169.075876,2,1,None,,
1764760169.155996,3,1,None,,
1764760169.219393,4,1,None,,
1764760169.299618,5,1,None,,
1764760169.362782,6,1,None,,
1764760169.443242,7,1,None,,
1764760169.506543,8,1,None,,
1764760169.586619,9,1,None,,
1764760169.649812,10,1,None,,
1764760169.823491,11,1,None,,
1764760169.863902,12,1,None,,
1764760169.935836,13,1,None,,
1764760170.007792,14,1,None,,
1764760170.079647,15,1,None,,
1764760170.151524,16,1,None,,
1764760170.223410,17,1,None,,
1764760170.295355,18,1,None,,
1764760170.367151,19,1,None,,
1764760170.438882,20,1,None,,
1764760170.610445,21,1,None,,
1764760170.652657,22,1,None,,
1764760170.724625,23,1,None,,
1764760170.796554,24,1,None,,
1764760170.868406,25,1,None,,
1764760170.940418,26,1,None,,
1764760171.012228,27,1,None,,
1764760171.084098,28,1,None,,
1764760171.155954,29,1,None,,
1764760171.227760,30,1,None,,
1764760171.401993,31,1,None,,
1764760171.441535,32,1,None,,
1764760171.513600,33,1,None,,
1764760171.585398,34,1,None,,
1764760171.657357,35,1,None,,
1764760171.729276,36,1,None,,
1764760171.801252,37,1,None,,
1764760171.873156,38,1,None,,
1764760171.944977,39,1,None,,
1764760172.016943,40,1,None,,
1764760172.185074,41,1,None,,
1764760172.230675,42,1,None,,
1764760172.302700,43,1,None,,
1764760172.374674,44,1,None,,
1764760172.446615,45,1,None,,
1764760172.518549,46,1,None,,
1764760172.590444,47,1,None,,
1764760172.662416,48,1,None,,
1764760172.734226,49,1,None,,
1764760172.806044,50,1,None,,
1764760172.971492,51,1,None,,
1764760173.020071,52,1,None,,
1764760173.092291,53,1,None,,
1764760173.164318,54,1,None,,
1764760173.236161,55,1,None,,
1764760173.308180,56,1,None,,
1764760173.380149,57,1,None,,
1764760173.451970,58,1,None,,
1764760173.523761,59,1,None,,
1764760173.595624,60,1,None,,
1764760173.765732,61,1,None,,
1764760173.809663,62,1,None,,
1764760173.881783,63,1,None,,
1764760173.953775,64,1,None,,
1764760174.025817,65,1,None,,
1764760174.097662,66,1,None,,
1764760174.169682,67,1,None,,
1764760174.241704,68,1,None,,
1764760174.313578,69,1,None,,
1764760174.385571,70,1,None,,
1764760174.540342,71,1,None,,
1764760174.596221,72,1,None,,
1764760174.666105,73,1,None,,
1764760174.738078,74,1,None,,
1764760174.810032,75,1,None,,
1764760174.881995,76,1,None,,
1764760174.953899,77,1,None,,
1764760175.025927,78,1,None,,
1764760175.097785,79,1,None,,
1764760175.169645,80,1,None,,
1764760175.343217,81,1,None,,
1764760175.383463,82,1,None,,
1764760175.455697,83,1,None,,
1764760175.527554,84,1,None,,
1764760175.599464,85,1,None,,
1764760175.671372,86,1,None,,
1764760175.743237,87,1,None,,
1764760175.815203,88,1,None,,
1764760175.887067,89,1,None,,
1764760175.959102,90,1,None,,
1764760176.117486,91,1,None,,
1764760176.173696,92,1,None,,
1764760176.245573,93,1,None,,
1764760176.317478,94,1,None,,
1764760176.389392,95,1,None,,
1764760176.461343,96,1,None,,
1764760176.533247,97,1,None,,
1764760176.605136,98,1,None,,
1764760176.676974,99,1,None,,
1764760176.748824,100,1,None,,
1764760176.892519,101,1,None,,
1764760176.963209,102,1,None,,
1764760177.035118,103,1,None,,
1764760177.107144,104,1,None,,
1764760177.179046,105,1,None,,
1764760177.251049,106,1,None,,
1764760177.322894,107,1,None,,
1764760177.394756,108,1,None,,
1764760177.466636,109,1,None,,
1764760177.538580,110,1,None,,
1764760177.692769,111,1,None,,
1764760177.753029,112,1,None,,
1764760177.824955,113,1,None,,
1764760177.896857,114,1,None,,
1764760177.968776,115,1,None,,
1764760178.040684,116,1,None,,
1764760178.112693,117,1,None,,
1764760178.184652,118,1,None,,
1764760178.256653,119,1,None,,
1764760178.328411,120,1,None,,
1764760178.478174,121,1,None,,
1764760178.539331,122,1,None,,
1764760178.608952,123,1,None,,
1764760178.678554,124,1,None,,
1764760178.748217,125,1,None,,
1764760178.817775,126,1,None,,
1764760178.887411,127,1,None,,
1764760178.957026,128,1,None,,
1764760179.026580,129,1,None,,
1764760179.096246,130,1,None,,
1764760179.249208,131,1,None,,
1764760179.310657,132,1,None,,
1764760179.382516,133,1,None,,
1764760179.454548,134,1,None,,
